Date,Open,High,Low,Close,Adj Close,Volume
11-06-2021,424.200012,424.429993,422.820007,424.309998,413.393311,45570800
14-06-2021,424.429993,425.369995,423.100006,425.26001,414.318817,42358500
15-06-2021,425.420013,425.459991,423.540009,424.480011,413.558899,51508500
16-06-2021,424.630005,424.869995,419.920013,422.109985,411.249847,80386100
17-06-2021,421.670013,423.019989,419.320007,421.970001,411.113464,90949700
18-06-2021,417.089996,417.829987,414.700012,414.920013,405.567383,118676300
21-06-2021,416.799988,421.059998,415.929993,420.859985,411.373444,72822000
22-06-2021,420.850006,424,420.079987,423.109985,413.572723,57700300
23-06-2021,423.190002,424.049988,422.51001,422.600006,413.074249,49445400
24-06-2021,424.890015,425.549988,424.619995,425.100006,415.517883,45110300
25-06-2021,425.899994,427.089996,425.549988,426.609985,416.993896,58129500
28-06-2021,427.170013,427.649994,425.890015,427.470001,417.834473,53159600
29-06-2021,427.880005,428.559998,427.130005,427.700012,418.059296,35970500
30-06-2021,427.209991,428.779999,427.179993,428.059998,418.411163,64827900
01-07-2021,428.869995,430.600006,428.799988,430.429993,420.727753,53441000
02-07-2021,431.670013,434.100006,430.519989,433.720001,423.943573,57697700
06-07-2021,433.779999,434.01001,430.01001,432.929993,423.171417,68710400
07-07-2021,433.660004,434.76001,431.51001,434.459991,424.666901,63549500
08-07-2021,428.779999,431.730011,427.519989,430.920013,421.206696,97595200
09-07-2021,432.529999,435.839996,430.709991,435.519989,425.703033,76238600
12-07-2021,435.429993,437.350006,434.970001,437.079987,427.227875,52889600
13-07-2021,436.23999,437.839996,435.309998,435.589996,425.771454,52911300
14-07-2021,437.399994,437.920013,434.910004,436.23999,426.406769,64130400
15-07-2021,434.809998,435.529999,432.720001,434.75,424.950378,55126400
16-07-2021,436.01001,436.059998,430.920013,431.339996,421.617188,75874700
19-07-2021,426.190002,431.410004,421.970001,424.970001,415.390808,147987000
20-07-2021,425.679993,432.420013,424.829987,431.059998,421.343536,99608200
21-07-2021,432.339996,434.700012,431.01001,434.549988,424.754883,64724400
22-07-2021,434.73999,435.720001,433.690002,435.459991,425.644409,47878500
23-07-2021,437.519989,440.299988,436.790009,439.940002,430.023407,63766600
26-07-2021,439.309998,441.029999,439.26001,441.019989,431.079041,43719200
27-07-2021,439.910004,439.940002,435.98999,439.01001,429.11438,67397100
28-07-2021,439.679993,440.299988,437.309998,438.829987,428.938354,52472400
29-07-2021,439.820007,441.799988,439.809998,440.649994,430.717407,47435300
30-07-2021,437.910004,440.059998,437.769989,438.51001,428.625641,68951200
02-08-2021,440.339996,440.929993,437.209991,437.589996,427.726349,58783300
03-08-2021,438.440002,441.279999,436.100006,441.149994,431.206116,58053900
04-08-2021,439.779999,441.119995,438.730011,438.980011,429.085052,46732200
05-08-2021,440.220001,441.850006,439.880005,441.76001,431.802368,38969700
